uid,name,pos,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
McCaCh01,Christian McCaffrey,RB,357.8,313.9,109.0,81.9,413.2,332.0,188.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LambCe00,CeeDee Lamb,WR,335.7,248.1,193.3,180.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlleJo02,Josh Allen,QB,392.6,395.5,402.6,395.6,288.6,208.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HillTy00,Tyreek Hill,WR,316.9,287.7,241.0,285.4,159.3,290.5,207.7,186.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HurtJa00,Jalen Hurts,QB,356.8,378.0,312.2,108.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MostRa00,Raheem Mostert,RB,255.2,152.8,2.0,91.7,158.2,35.6,1.0,0.6,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StxxAm00,Amon-Ra St. Brown,WR,271.4,214.6,182.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PresDa01,Dak Prescott,QB,342.8,198.6,320.6,135.1,337.8,285.9,260.7,286.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EvanMi00,Mike Evans,WR,243.0,186.9,225.5,213.6,199.2,247.4,167.6,256.1,173.6,211.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JackLa00,Lamar Jackson,QB,331.2,236.1,240.0,332.8,415.7,157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaPoSa01,Sam LaPorta,TE,196.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EtieTr00,Travis Etienne,RB,253.4,187.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WillKy02,Kyren Williams,RB,239.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NacuPu00,Puka Nacua,WR,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoorD.00,D.J. Moore,WR,238.5,167.6,191.0,178.5,187.0,129.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HenrDe00,Derrick Henry,RB,232.7,286.3,184.3,323.6,285.6,193.9,129.5,99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MixoJo00,Joe Mixon,RB,241.0,209.5,266.9,89.1,207.9,221.9,126.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoveJo03,Jordan Love,QB,319.1,11.7,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HallBr03,Breece Hall,RB,252.5,105.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrowAJ00,A.J. Brown,WR,236.6,255.6,149.4,212.5,191.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SamuDe00,Deebo Samuel,WR,213.7,140.4,300.5,64.2,160.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KittGe00,George Kittle,TE,170.7,170.5,162.5,101.1,180.0,214.7,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CollNi00,Nico Collins,WR,220.4,78.6,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WhitRa01,Rachaad White,RB,235.9,114.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AiyuBr00,Brandon Aiyuk,WR,211.7,188.8,142.3,154.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KelcTr00,Travis Kelce,TE,172.9,261.3,216.8,260.3,205.8,243.1,192.0,180.5,153.5,149.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlleKe00,Keenan Allen,WR,224.9,131.0,204.8,195.1,209.5,211.6,233.2,9.3,128.0,136.8,184.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HockTJ00,T.J. Hockenson,TE,171.5,172.4,114.8,141.8,64.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiggSt00,Stefon Diggs,WR,220.3,262.6,234.0,265.1,180.6,215.3,166.2,151.3,123.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NjokDa00,David Njoku,TE,160.7,113.0,89.6,42.8,12.6,115.9,78.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PurdBr00,Brock Purdy,QB,295.6,106.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MontDa01,David Montgomery,RB,199.2,160.7,174.0,237.8,157.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChasJa00,Ja'Marr Chase,WR,212.7,198.9,264.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdamDa01,Davante Adams,WR,213.9,285.5,282.8,300.9,171.2,274.1,185.5,209.2,81.3,81.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GibbJa01,Jahmyr Gibbs,RB,216.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EngrEv00,Evan Engram,TE,173.3,140.4,79.5,109.5,87.4,103.8,141.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CookJa01,James Cook,RB,210.7,95.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RobiBi01,Bijan Robinson,RB,217.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetcDK00,D.K. Metcalf,WR,192.4,181.8,206.8,229.8,158.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoffJa00,Jared Goff,QB,289.1,283.8,194.5,240.0,247.5,310.3,255.3,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HillTa00,Taysom Hill,TE,127.0,141.3,119.7,152.6,92.7,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoopAm00,Amari Cooper,WR,191.0,207.0,168.5,190.8,207.0,178.0,134.4,190.8,176.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarkSa00,Saquon Barkley,RB,202.7,255.5,128.1,12.4,218.1,340.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RidlCa00,Calvin Ridley,WR,191.9,,55.6,236.5,165.5,174.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReedJa03,Jayden Reed,WR,185.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KmetCo00,Cole Kmet,TE,144.6,122.3,91.2,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AddiJo00,Jordan Addison,WR,186.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FergJa00,Jake Ferguson,TE,141.6,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HopkDe00,DeAndre Hopkins,WR,186.1,119.7,126.2,230.3,216.5,276.0,261.8,158.4,275.6,193.0,116.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MahoPa00,Patrick Mahomes,QB,280.2,416.9,361.7,374.4,287.0,417.1,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeyeJa01,Jakobi Meyers,WR,183.1,146.8,144.8,113.0,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConnJa00,James Conner,RB,188.0,177.2,239.2,147.1,128.5,252.5,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EdwaGu00,Gus Edwards,RB,181.0,59.3,,123.7,89.1,88.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmitDe07,DeVonta Smith,WR,187.1,207.1,153.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PickGe00,George Pickens,WR,177.3,140.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McBrTr01,Trey McBride,TE,141.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OlavCh00,Chris Olave,WR,187.8,162.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StroCJ00,C.J. Stroud,QB,275.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WalkKe00,Kenneth Walker III,RB,184.9,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MayfBa00,Baker Mayfield,QB,274.1,121.4,180.9,248.1,229.2,240.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PachIs00,Isiah Pacheco,RB,191.9,128.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PittMi01,Michael Pittman Jr.,WR,195.7,167.0,194.6,78.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PollTo00,Tony Pollard,RB,195.1,229.3,143.1,106.8,81.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FordJe00,Jerome Ford,RB,189.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HarrNa00,Najee Harris,RB,181.0,203.0,263.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TagoTu00,Tua Tagovailoa,QB,270.4,230.9,180.9,135.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SchuDa00,Dalton Schultz,TE,121.0,114.2,169.8,115.0,1.1,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AndrMa00,Mark Andrews,TE,112.9,154.0,247.6,141.1,175.2,90.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AchaDe00,De'Von Achane,RB,177.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JeffJu00,Justin Jefferson,WR,168.2,304.7,276.4,230.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RobiBr01,Brian Robinson Jr.,RB,180.1,108.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RiceRa01,Rashee Rice,WR,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwifDA00,D'Andre Swift,RB,179.8,167.1,177.9,166.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
